unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_7mpf_4k6g,resolution_action_updated_date,vehicle_type,taxi_pick_up_location,closed_date,resolution_description,facility_type,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,taxi_company_borough
65243698,2025-06-12T23:57:27.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11415,115 AUDLEY STREET,AUDLEY STREET,ABINGDON ROAD,BEVERLY ROAD,ABINGDON ROAD,BEVERLY ROAD,ADDRESS,KEW GARDENS,AUDLEY STREET,In Progress,09 QUEENS,,QUEENS,1030469,197576,UNKNOWN,Unspecified,QUEENS,40.70885651893667,-73.83329114729763,"{'latitude': '40.70885651893667', 'longitude': '-73.83329114729763', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24011,46,3,28,60,60,,,,,,,,,,,,
65248048,2025-06-12T23:56:00.000,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10306,199 JACQUES AVENUE,JACQUES AVENUE,CLAWSON ST,HYLAN BLVD,,,ADDRESS,STATEN ISLAND,,Open,02 STATEN ISLAND,5036480010,STATEN ISLAND,953688,147505,ONLINE,Unspecified,STATEN ISLAND,40.57149041951415,-74.11000836333362,"{'latitude': '40.57149041951415', 'longitude': '-74.11000836333362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10693,30,1,14,76,76,,,,,,N/A,,,,,,
65246732,2025-06-12T23:38:00.000,DEP,Department of Environmental Protection,Sewer,Manhole Overflow (Use Comments) (SA1),,11433,180-25 LIBERTY AVENUE,LIBERTY AVENUE,178 ST,180 ST,,,ADDRESS,JAMAICA,,Open,12 QUEENS,4103290175,QUEENS,1044940,196356,PHONE,Unspecified,QUEENS,40.70542049269588,-73.78110640224423,"{'latitude': '40.70542049269588', 'longitude': '-73.78110640224423', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24668,41,3,6,61,61,,,,,,,,,,,,
65245480,2025-06-12T23:32:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10463,2907 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,W 229 ST,W 230 ST,,,ADDRESS,BRONX,,Open,08 BRONX,2032560144,BRONX,1011211,257948,PHONE,Unspecified,BRONX,40.87464086738497,-73.90251104468575,"{'latitude': '40.87464086738497', 'longitude': '-73.90251104468575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11272,48,5,29,33,33,,,,,,,,,,,,
65244216,2025-06-12T23:26:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10040,601 WEST  190 STREET,WEST  190 STREET,ST NICHOLAS AVE,WADSWORTH AVE,,,ADDRESS,NEW YORK,,Open,12 MANHATTAN,1021690053,MANHATTAN,1003663,250782,PHONE,Unspecified,MANHATTAN,40.854992204324,-73.92982479121241,"{'latitude': '40.854992204324', 'longitude': '-73.92982479121241', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13098,47,4,39,22,22,,,,,,,,,,,,
65249874,2025-06-12T23:20:00.000,DEP,Department of Environmental Protection,Water System,No Water (WNW),,11218,394 MCDONALD AVENUE,MCDONALD AVENUE,ALBEMARLE RD,CHURCH AVE,,,ADDRESS,BROOKLYN,,Open,12 BROOKLYN,3053320015,BROOKLYN,989869,174040,PHONE,Unspecified,BROOKLYN,40.64437444732478,-73.9797522400356,"{'latitude': '40.64437444732478', 'longitude': '-73.9797522400356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17620,2,2,27,39,39,,,,,,,,,,,,
65250514,2025-06-12T23:20:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,10032,515 WEST  168 STREET,WEST  168 STREET,AMSTERDAM AVE,AUDUBON AVE,,,ADDRESS,NEW YORK,,Open,12 MANHATTAN,1021250053,MANHATTAN,1001531,245371,PHONE,Unspecified,MANHATTAN,40.84014503831177,-73.93754560817383,"{'latitude': '40.84014503831177', 'longitude': '-73.93754560817383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090,47,4,39,21,21,,,,,,,,,,,,
65241742,2025-06-12T23:20:00.000,DEP,Department of Environmental Protection,Water Conservation,Illegal Use Of A Hydrant (CIN),,10463,99 TERRACE VIEW AVENUE,TERRACE VIEW AVENUE,ADRIAN AVE,TEUNISSEN PL,,,ADDRESS,BRONX,,Open,08 BRONX,1022150080,BRONX,1008515,258843,ONLINE,Unspecified,BRONX,40.877105188573836,-73.9122563300799,"{'latitude': '40.877105188573836', 'longitude': '-73.9122563300799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11272,48,4,39,33,33,,,,,,,,,,,,
65248600,2025-06-12T23:05:00.000,DEP,Department of Environmental Protection,Water System,No Water (WNW),,11218,102 ALBERMARLE ROAD,ALBERMARLE ROAD,MCDONALD AVE,E 2 ST,,,ADDRESS,BROOKLYN,,Open,12 BROOKLYN,3053340001,BROOKLYN,989898,174314,PHONE,Unspecified,BROOKLYN,40.64512649981427,-73.97964751072021,"{'latitude': '40.64512649981427', 'longitude': '-73.97964751072021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17620,2,2,27,39,39,,,,,,,,,,,,
65241732,2025-06-12T22:47:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11421,,,,,80 STREET,91 AVENUE,INTERSECTION,QUEENS,,Closed,09 QUEENS,,QUEENS,1022832,189478,PHONE,Unspecified,QUEENS,40.68666602013635,-73.86088363416303,"{'latitude': '40.68666602013635', 'longitude': '-73.86088363416303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24017,46,3,41,60,60,2025-06-12T23:10:00.000,,,2025-06-12T23:10:00.000,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,,,,,,,
65249235,2025-06-12T22:44:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10040,559 WEST  188 STREET,WEST  188 STREET,AUDUBON AVE,ST NICHOLAS AVE,,,ADDRESS,NEW YORK,,Open,12 MANHATTAN,1021580055,MANHATTAN,1003733,250162,MOBILE,Unspecified,MANHATTAN,40.85329033535188,-73.92957355325696,"{'latitude': '40.85329033535188', 'longitude': '-73.92957355325696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13098,47,4,39,22,22,,,,,,,,,,,,
65242965,2025-06-12T22:41:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10452,1575 TOWNSEND AVENUE,TOWNSEND AVENUE,E 172 ST,E MT EDEN AVE,,,ADDRESS,BRONX,,Open,04 BRONX,2028460037,BRONX,1008008,246638,ONLINE,Unspecified,BRONX,40.84360753150737,-73.91413293304896,"{'latitude': '40.84360753150737', 'longitude': '-73.91413293304896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10930,50,5,29,27,27,,,,,,,,,,,,
